venta_id,fecha,producto_id,cantidad,precio_unitario,cliente_id,vendedor
1000,2025-10-10,P008,1,187578.06,C038,Luis Martínez
1001,2025-10-04,P008,2,176311.4,C488,Luis Martínez
1002,2025-10-23,P004,2,6004279.57,,Juan Pérez
1003,2025-10-07,P013,1,446919.4,,Pedro Gómez
1004,2025-10-09,P010,1,819189.63,C239,Luis Martínez
1005,2025-09-30,P020,1,1310865.37,,Pedro Gómez
1006,2025-10-13,P017,2,2371485.73,,Pedro Gómez
1007,2025-10-20,P002,2,1795085.42,,Juan Pérez
1008,2025-10-01,P017,3,2066419.01,C108,Luis Martínez
1009,2025-10-05,P015,2,686255.28,C137,María López
1010,2025-10-11,P019,1,288541.57,,Juan Pérez
1011,2025-10-18,P015,1,683586.72,C026,Juan Pérez
1012,2025-10-08,P014,1,529251.64,,Juan Pérez
1013,2025-10-12,P003,3,3985905.29,C046,Juan Pérez
1014,2025-10-06,P003,2,4605202.92,C281,Luis Martínez
1015,2025-10-19,P019,1,278016.01,C264,Ana Rodríguez
1016,2025-10-04,P009,1,1152115.15,C058,Juan Pérez
1017,2025-10-06,P020,1,1248268.23,,Luis Martínez
1018,2025-10-26,P013,2,436851.73,,Pedro Gómez
1019,2025-10-26,P002,1,1859853.02,,Pedro Gómez
1020,2025-10-26,P012,2,979073.69,C473,María López
1021,2025-10-04,P020,2,1305823.93,C034,Luis Martínez
1022,2025-10-08,P017,2,2415457.37,C492,Juan Pérez
1023,2025-10-15,P001,1,1052985.13,C095,Pedro Gómez
1024,2025-10-02,P002,1,1880299.13,C491,María López
1025,2025-10-25,P003,1,4589231.47,,Pedro Gómez
1026,2025-10-18,P002,4,1853185.69,,Pedro Gómez
1027,2025-10-01,P009,3,1241942.52,,Juan Pérez
1028,2025-10-30,P018,5,1676867.99,C192,Luis Martínez
1029,2025-10-29,P006,1,639123.3,C044,Luis Martínez
1030,2025-10-05,P014,1,533661.36,C005,Pedro Gómez
1031,2025-10-14,P015,1,498200.16,,Juan Pérez
1032,2025-10-04,P014,1,546704.8,C151,Luis Martínez
1033,2025-10-30,P004,5,5724300.55,C163,Ana Rodríguez
1034,2025-10-19,P011,1,1463088.78,,Ana Rodríguez
1035,2025-10-03,P014,1,562352.72,C489,Ana Rodríguez
1036,2025-10-08,P011,3,1523735.93,C370,Juan Pérez
1037,2025-10-03,P014,1,562611.06,C379,Ana Rodríguez
1038,2025-10-18,P012,2,1047468.9,C016,Luis Martínez
1039,2025-10-26,P005,2,340412.38,C013,María López
1040,2025-10-03,P007,2,288193.48,,Ana Rodríguez
1041,2025-10-02,P003,1,4313603.44,,Pedro Gómez
1042,2025-10-04,P018,2,1643528.18,,Luis Martínez
1043,2025-10-28,P001,2,1569943.98,C365,Ana Rodríguez
